request,category,action,confidence,capabilities
"fix connection issue on db-server",troubleshooting,diagnose_performance,0.83,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"get asset db-prod-01",asset_management,asset_discovery,0.92,"asset_management|network_info"
"set permissions for /home/user",configuration,set_permissions,0.96,"system_info|disk_management|service_management"
"search for web-server",asset_management,asset_count,0.97,"asset_management|asset_query"
"monitor performance of db-server",monitoring,view_dashboard,0.81,"system_monitoring|api_query"
"list available services",information,get_help,0.87,"system_info"
"debug database performance",troubleshooting,debug_application,0.8,"process_monitoring|log_analysis|system_monitoring"
"stop redis",automation,emergency_response,0.8,"service_management|system_monitoring|process_management|disk_management"
"check alerts for development",monitoring,get_metrics,0.89,"system_monitoring|memory_monitoring|disk_monitoring"
"set permissions for /etc/nginx",configuration,configure_service,0.87,"service_management|system_info"
"list all servers",asset_management,asset_discovery,0.92,"asset_management|network_info"
"diagnose performance issues on db-server",troubleshooting,diagnose_performance,0.8,"system_monitoring|memory_monitoring|process_monitoring"
"stop nginx",automation,deploy_application,0.94,"service_management|disk_management|system_monitoring"
"display contents of /etc/hostname",information,get_status_info,0.76,"system_info|system_monitoring"
"get asset db-prod-01",asset_management,list_hosts,0.89,"asset_management|resource_listing"
"execute df -h",automation,deploy_application,0.93,"service_management|disk_management|system_monitoring"
"get credentials for mysql",asset_management,list_hosts,0.96,"asset_management|resource_listing"
"how do I check logs",information,provide_information,0.8,"system_info|infrastructure_info|resource_listing"
"query assets in on-premises",asset_management,list_credentials,0.87,"credential_access|secret_retrieval"
"run maintenance.sh on prod-web-01",automation,run_script,0.94,"system_info|process_management|disk_management"
"check status of ssh",monitoring,get_metrics,0.83,"system_monitoring|memory_monitoring|disk_monitoring"
"update security settings for apache",configuration,configure_service,0.88,"service_management|system_info"
"restart postgresql service",automation,run_script,0.97,"system_info|process_management"
"diagnose performance issues on 192.168.1.100",troubleshooting,debug_application,0.91,"process_monitoring|log_analysis|system_monitoring"
"execute systemctl status",automation,backup_data,0.86,"disk_management|system_info|process_management"
"discover assets in 10.0.0.0/16",asset_management,asset_discovery,0.77,"asset_management|network_info"
"monitor performance of server1",monitoring,view_logs,0.76,"log_analysis|system_info"
"show examples of curl commands",information,get_status_info,0.79,"system_info|system_monitoring|infrastructure_info"
"check status of apache",monitoring,check_status,0.85,"system_monitoring|service_management"
"diagnose performance issues on server1",troubleshooting,analyze_logs,0.89,"log_analysis|text_search"
"get CPU metrics for 192.168.1.100",monitoring,check_alerts,0.9,"system_monitoring|log_analysis|process_monitoring"
"analyze logs for permission denied",troubleshooting,investigate_error,0.96,"log_analysis|system_monitoring|network_testing"
"monitor performance of web-01",monitoring,get_metrics,0.96,"system_monitoring|memory_monitoring|disk_monitoring"
"debug service performance",troubleshooting,investigate_error,0.78,"log_analysis|system_monitoring"
"stop nginx",automation,restart_service,0.82,"service_management|system_monitoring|system_info"
"get asset server-001",asset_management,get_asset_info,0.96,"asset_management|asset_query"
"investigate permission denied in service",troubleshooting,diagnose_performance,0.77,"system_monitoring|memory_monitoring|process_monitoring|network_testing"
"modify timeout in apache",configuration,change_settings,0.78,"system_info|service_management|disk_management"
"fix slow response on server1",troubleshooting,analyze_logs,0.97,"log_analysis|text_search"
"update staging settings",configuration,set_permissions,0.93,"system_info|disk_management|service_management"
"get configuration",information,compute,0.78,"system_info|resource_listing"
"stop redis",automation,run_script,0.76,"system_info|process_management"
"diagnose performance issues on web-01",troubleshooting,fix_problem,0.88,"service_management|system_info|process_management"
"calculate disk space",information,provide_information,0.9,"system_info|infrastructure_info"
"debug service performance",troubleshooting,investigate_error,0.81,"log_analysis|system_monitoring"
"check health of web app",monitoring,monitor_performance,0.9,"system_monitoring|memory_monitoring|process_monitoring"
"list available services",information,get_help,0.8,"system_info"
"monitor performance of server1",monitoring,check_status,0.86,"system_monitoring|service_management"
"run backup.sh on 192.168.1.100",automation,emergency_response,0.76,"service_management|system_monitoring|process_management"
"run deploy.py on web-01",automation,restart_service,0.86,"service_management|system_monitoring"
"restart postgresql service",automation,execute_command,0.95,"system_info|process_management"
"get information about database",asset_management,search_assets,0.97,"asset_management|asset_query|resource_listing"
"how do I restart a service",information,describe_system,0.97,"system_info|infrastructure_info"
"diagnose performance issues on prod-web-01",troubleshooting,investigate_error,0.89,"log_analysis|system_monitoring"
"investigate connection timeout in web app",troubleshooting,analyze_logs,0.91,"log_analysis|text_search"
"diagnose redis issue",troubleshooting,diagnose_issue,0.83,"system_monitoring|log_analysis|process_monitoring"
"backup /var/log to /tmp",automation,deploy_application,0.96,"service_management|disk_management|system_monitoring"
"restart redis service",automation,execute_command,0.91,"system_info|process_management"
"check status of mysql",monitoring,view_logs,0.88,"log_analysis|system_info"
"check status of mysql",monitoring,check_health,0.82,"system_monitoring|service_management"
"configure docker on server1",configuration,modify_parameters,0.96,"system_info|service_management|disk_management"
"read /var/log/nginx/access.log",information,show_documentation,0.95,"system_info|infrastructure_info"
"check health of API",monitoring,check_alerts,0.75,"system_monitoring|log_analysis"
"describe database cluster",information,math,0.78,"system_info"
"modify buffer_size in docker",configuration,update_environment,0.97,"system_info|service_management|disk_management"
"backup /var/www to /tmp",automation,emergency_response,0.81,"service_management|system_monitoring|process_management"
"change timeout to 8080",configuration,set_permissions,0.8,"system_info|disk_management|service_management"
"list available credentials",asset_management,list_servers,0.84,"asset_management|resource_listing"
"view logs for nginx",monitoring,check_status,0.86,"system_monitoring|service_management"
"analyze logs for 404 error",troubleshooting,debug_application,0.89,"process_monitoring|log_analysis|system_monitoring"
"update production settings",configuration,modify_parameters,0.93,"system_info|service_management|disk_management"
"show dashboard for docker",monitoring,check_alerts,0.85,"system_monitoring|log_analysis"
"check alerts for staging",monitoring,get_metrics,0.87,"system_monitoring|memory_monitoring|disk_monitoring"
"monitor performance of server1",monitoring,view_logs,0.9,"log_analysis|system_info"
"read /etc/hostname",information,show_documentation,0.97,"system_info"
"start ssh on db-server",automation,run_script,0.87,"system_info|process_management"
"list all servers",asset_management,get_credentials,0.85,"credential_access|secret_retrieval"
"check status of apache",monitoring,monitor_performance,0.84,"system_monitoring|memory_monitoring|process_monitoring"
